,VH_x,Team_V,Final_V,O/U,ML_V,VH_y,Team_H,Final_H,line,ML_H
91,0,Charlotte,101,218.0,290,1,Philadelphia,118,9.5,-350
92,0,Cleveland,83,217.0,190,1,Orlando,103,5.0,-220
93,0,OklahomaCity,90,212.5,350,1,Miami,118,8.0,-420
94,0,NewYork,113,223.0,250,1,Atlanta,108,6.0,-300
95,0,Boston,126,214.0,200,1,Toronto,114,2.5,-240
96,0,Dallas,113,228.0,150,1,Houston,100,3.0,-170
97,0,Indiana,118,218.0,105,1,NewOrleans,116,0.0,-125
98,0,Detroit,115,225.0,1100,1,Milwaukee,125,15.0,-2500
99,0,Sacramento,106,232.0,-125,1,GoldenState,137,-232.0,105
100,0,Utah,96,231.5,-180,1,Brooklyn,130,-3.0,160
101,0,LALakers,94,218.0,-460,1,Memphis,92,-218.0,380
102,0,Minnesota,116,228.0,475,1,Denver,123,12.0,-650
103,0,SanAntonio,116,227.0,260,1,LAClippers,113,8.0,-310
104,0,Chicago,111,233.5,375,1,Portland,108,10.0,-450
105,0,Houston,107,226.0,125,1,Indiana,114,1.5,-145
106,0,Washington,136,231.0,220,1,Philadelphia,141,8.0,-260
107,0,Cleveland,94,213.0,180,1,Orlando,105,6.0,-210
108,0,Boston,107,218.0,120,1,Miami,105,3.5,-140
109,0,Charlotte,102,231.0,210,1,Atlanta,94,6.5,-250
110,0,Utah,100,215.0,-310,1,NewYork,112,-215.0,260
111,0,OklahomaCity,111,213.0,270,1,NewOrleans,110,8.0,-330
112,0,Detroit,115,227.0,650,1,Milwaukee,130,13.5,-1000
113,0,Toronto,115,217.0,130,1,Phoenix,123,1.5,-150
114,0,Chicago,124,232.0,250,1,Sacramento,128,6.0,-300
115,0,LAClippers,108,234.0,-210,1,GoldenState,101,-234.0,180
116,0,Philadelphia,109,224.0,-180,1,Brooklyn,122,-224.0,160
117,0,Cleveland,94,214.0,200,1,Memphis,90,3.5,-240
118,0,Minnesota,117,233.5,400,1,Portland,135,10.0,-500
119,0,Dallas,124,226.0,125,1,Denver,117,2.5,-145
120,0,SanAntonio,118,225.0,330,1,LALakers,109,7.5,-400
121,0,Phoenix,105,218.5,-330,1,Detroit,110,-218.5,270
122,0,Charlotte,118,216.0,230,1,NewOrleans,110,8.5,-270
123,0,Washington,107,234.5,155,1,Boston,116,5.5,-175
124,0,OklahomaCity,101,209.5,130,1,NewYork,89,3.5,-150
125,0,Utah,131,236.0,200,1,Milwaukee,118,8.0,-240
126,0,Orlando,90,229.0,240,1,Houston,132,4.5,-280
127,0,Brooklyn,110,222.0,-110,1,Memphis,115,222.0,-110
128,0,Toronto,144,226.5,-120,1,Sacramento,123,-226.5,100
129,0,LAClippers,105,232.0,-250,1,GoldenState,115,-232.0,210
130,0,Chicago,115,229.5,350,1,LALakers,117,10.0,-420
131,0,Denver,115,222.0,-1100,1,Philadelphia,103,-222.0,700
132,0,Miami,128,229.5,-700,1,Washington,124,-229.5,500
133,0,Atlanta,105,228.0,-200,1,Charlotte,113,-228.0,175
134,0,Phoenix,125,217.0,130,1,Indiana,117,3.0,-150
135,0,SanAntonio,125,230.0,-160,1,Minnesota,122,-230.0,140
136,0,Cleveland,90,222.5,350,1,Milwaukee,100,12.0,-420
137,0,Orlando,98,217.0,220,1,Dallas,112,7.0,-260
138,0,Portland,125,234.5,-210,1,Sacramento,99,-234.5,180
139,0,Utah,96,217.0,-400,1,Detroit,86,-217.0,330
140,0,Chicago,127,225.5,650,1,LAClippers,130,12.0,-1000
141,0,OklahomaCity,129,222.5,290,1,Brooklyn,116,9.5,-350
142,0,Denver,114,218.0,-220,1,NewYork,89,-218.0,190
143,0,LALakers,120,226.5,-180,1,Houston,102,-226.5,160
144,0,SanAntonio,88,234.0,-185,1,Minnesota,96,-234.0,165
145,0,Toronto,105,230.5,-150,1,GoldenState,106,-230.5,130
146,0,Memphis,101,217.5,-135,1,Cleveland,91,-2.0,115
147,0,Phoenix,107,228.5,-250,1,Washington,128,-228.5,210
148,0,Milwaukee,121,224.5,-500,1,Orlando,99,-224.5,400
149,0,NewYork,88,212.0,170,1,Charlotte,109,4.5,-190
150,0,Philadelphia,94,223.5,200,1,Atlanta,112,6.5,-240
151,0,Toronto,111,233.5,175,1,Portland,112,3.5,-200
152,0,Indiana,122,233.0,-170,1,Sacramento,127,-233.0,150
153,0,Miami,134,207.0,320,1,Philadelphia,137,4.0,-380
154,0,Utah,117,206.5,-1000,1,Cleveland,87,-206.5,650
155,0,Denver,116,232.0,110,1,Brooklyn,122,0.0,-130
156,0,SanAntonio,112,215.5,-135,1,OklahomaCity,102,-215.5,115
157,0,LALakers,117,223.0,-170,1,Houston,100,-223.0,150
158,0,Indiana,104,229.0,135,1,GoldenState,95,229.0,-155
159,0,Milwaukee,110,227.5,-600,1,Detroit,101,-227.5,450
160,0,Dallas,104,219.0,-150,1,Charlotte,93,-219.0,130
161,0,Brooklyn,116,219.0,-145,1,NewYork,109,-219.0,125
